Months,"a[1, Element 1]","a[1, Element 2]","a[2, Element 1]","a[2, Element 2]",b,c,"d[1, Element 1]","d[1, Element 2]","d[2, Element 1]","d[2, Element 2]","e[1, Element 1]","e[1, Element 2]","e[2, Element 1]","e[2, Element 2]",g,f[1],f[2]
1.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
1.25,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
1.5,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
1.75,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
2.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
2.25,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
2.5,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
2.75,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
3.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
3.25,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
3.5,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
3.75,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
4.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
4.25,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
4.5,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
4.75,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
5.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
5.25,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
5.5,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
5.75,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
6.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
6.25,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
6.5,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
6.75,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
7.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
7.25,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
7.5,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
7.75,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
8.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
8.25,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
8.5,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
8.75,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
9.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
9.25,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
9.5,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
9.75,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
10.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
10.25,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
10.5,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
10.75,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
11.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
11.25,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
11.5,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
11.75,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
12.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
12.25,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
12.5,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
12.75,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
13.0,3.0,5.0,7.0,9.0,8.0,16.0,3.0,5.0,7.0,9.0,3.0,3.0,7.0,7.0,10.0,10.0,10.0
